,State,Year,Quarter,Pincode,Registered_users
514,Arunanchal Pradesh,2019,4,792103,5974
515,Arunanchal Pradesh,2019,4,790104,5523
516,Arunanchal Pradesh,2019,4,791001,5499
517,Arunanchal Pradesh,2019,4,792001,5268
518,Arunanchal Pradesh,2019,4,791109,4216
519,Arunanchal Pradesh,2019,4,790116,4071
520,Arunanchal Pradesh,2020,1,791110,15867
521,Arunanchal Pradesh,2020,1,791111,14888
522,Arunanchal Pradesh,2020,1,791113,10049
523,Arunanchal Pradesh,2020,1,791102,9584
524,Arunanchal Pradesh,2020,1,792103,6949
525,Arunanchal Pradesh,2020,1,791001,6631
526,Arunanchal Pradesh,2020,1,790104,6108
527,Arunanchal Pradesh,2020,1,792001,6044
528,Arunanchal Pradesh,2020,1,791109,4808
529,Arunanchal Pradesh,2020,1,792110,4690
530,Arunanchal Pradesh,2020,2,791110,18699
531,Arunanchal Pradesh,2020,2,791111,17137
532,Arunanchal Pradesh,2020,2,791113,11777
533,Arunanchal Pradesh,2020,2,791102,11547
534,Arunanchal Pradesh,2020,2,792103,8648
535,Arunanchal Pradesh,2020,2,791001,8304
536,Arunanchal Pradesh,2020,2,792001,7106
537,Arunanchal Pradesh,2020,2,790104,6860
538,Arunanchal Pradesh,2020,2,792110,5825
539,Arunanchal Pradesh,2020,2,791109,5521
540,Arunanchal Pradesh,2020,3,791110,21772
541,Arunanchal Pradesh,2020,3,791111,19597
542,Arunanchal Pradesh,2020,3,791113,13723
543,Arunanchal Pradesh,2020,3,791102,13422
544,Arunanchal Pradesh,2020,3,792103,9996
545,Arunanchal Pradesh,2020,3,791001,9880
546,Arunanchal Pradesh,2020,3,792001,8196
547,Arunanchal Pradesh,2020,3,790104,7622
548,Arunanchal Pradesh,2020,3,792110,6844
549,Arunanchal Pradesh,2020,3,791109,6404
550,Arunanchal Pradesh,2020,4,791110,24414
551,Arunanchal Pradesh,2020,4,791111,21845
552,Arunanchal Pradesh,2020,4,791113,15540
553,Arunanchal Pradesh,2020,4,791102,14955
554,Arunanchal Pradesh,2020,4,791001,11382
555,Arunanchal Pradesh,2020,4,792103,10964
556,Arunanchal Pradesh,2020,4,792001,9130
557,Arunanchal Pradesh,2020,4,790104,8391
558,Arunanchal Pradesh,2020,4,792110,7743
559,Arunanchal Pradesh,2020,4,791109,7262
560,Arunanchal Pradesh,2021,1,791110,26578
561,Arunanchal Pradesh,2021,1,791111,23660
562,Arunanchal Pradesh,2021,1,791113,16942
563,Arunanchal Pradesh,2021,1,791102,16191
564,Arunanchal Pradesh,2021,1,791001,12442
